   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/ressat-full.xml
name:                    ressat-full
run sets:                minimize-BDD.RandomExist, bare-BDD.RandomExist, minimize-Cachet.RandomExist, bare-Cachet.RandomExist
date:                    Thu, 2021-01-28 17:40:12 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



minimize-BDD.RandomExist
Run set 1 of 4 with options '-c ssat -vt' and propertyfile 'None'

inputfile                              status                       cpu time   wall time        host
re-strategic-company/x60.14.sdimacs    TIMEOUT (ERROR (1))            901.02      901.06        None
re-strategic-company/x60.19.sdimacs    TIMEOUT (ERROR (1))            901.03      901.06        None
re-strategic-company/x60.4.sdimacs     TIMEOUT (ERROR (1))            901.04      901.06        None
re-strategic-company/x60.9.sdimacs     TIMEOUT (ERROR (1))            901.00      901.05        None
re-strategic-company/x65.14.sdimacs    TIMEOUT (ERROR (1))            901.00      901.05        None
re-strategic-company/x65.19.sdimacs    TIMEOUT (ERROR (1))            901.01      901.06        None
re-strategic-company/x65.4.sdimacs     TIMEOUT (ERROR (1))            901.04      901.06        None
re-strategic-company/x65.9.sdimacs     TIMEOUT (ERROR (1))            900.99      901.06        None
re-strategic-company/x70.14.sdimacs    TIMEOUT (ERROR (1))            901.02      901.05        None
re-strategic-company/x70.19.sdimacs    TIMEOUT (ERROR (1))            901.04      901.06        None
re-strategic-company/x70.4.sdimacs     TIMEOUT (ERROR (1))            901.01      901.07        None
re-strategic-company/x70.9.sdimacs     TIMEOUT (ERROR (1))            901.03      901.06        None
re-strategic-company/x75.14.sdimacs    TIMEOUT (ERROR (1))            901.04      901.07        None
re-strategic-company/x75.19.sdimacs    TIMEOUT (ERROR (1))            901.05      901.07        None
re-strategic-company/x75.4.sdimacs     TIMEOUT (ERROR (1))            901.04      901.07        None
re-strategic-company/x75.9.sdimacs     TIMEOUT (ERROR (1))            901.02      901.06        None
----------------------------------------------------------------------------------------------------
Run set 2                              done                         49603.54     4507.87           -


minimize-Cachet.RandomExist
Run set 3 of 4 with options '-c ssat -bvt' and propertyfile 'None'

inputfile                              status                       cpu time   wall time        host
