   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dcssat-full.xml
name:                    dcssat-full
run sets:                default
date:                    Fri, 2021-01-29 19:06:55 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
ere-sand-castle/SC-9.sdimacs                           done                             0.03        0.03        None
ere-ToiletA/toilet_a_02_01.2.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_02_01.3.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_02_01.4.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_02_05.2.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_02_10.2.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_04_01.2.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_04_01.3.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_04_01.4.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_04_01.5.sdimacs                   done                             0.01        0.02        None
ere-ToiletA/toilet_a_04_01.6.sdimacs                   done                             0.02        0.03        None
ere-ToiletA/toilet_a_04_01.7.sdimacs                   done                             0.04        0.05        None
ere-ToiletA/toilet_a_04_01.8.sdimacs                   done                             0.09        0.09        None
ere-ToiletA/toilet_a_04_05.2.sdimacs                   done                             0.01        0.01        None
ere-ToiletA/toilet_a_04_10.2.sdimacs                   done                             0.02        0.02        None
ere-ToiletA/toilet_a_06_01.10.sdimacs                  done                            28.87       28.87        None
ere-ToiletA/toilet_a_06_01.11.sdimacs                  done                            74.25       74.25        None
ere-ToiletA/toilet_a_06_01.12.sdimacs                  done                           174.16      174.16        None
ere-ToiletA/toilet_a_06_01.2.sdimacs                   done                             0.03        0.03        None
ere-ToiletA/toilet_a_06_01.3.sdimacs                   done                             0.04        0.04        None
