tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.greedy-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.subsume-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.partial-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	erssat-full.default-BDD.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/ring_r6_ser--opt-17_.sdimacs	SEGMENTATION FAULT	0.85501378	1.2171471021138132	134.537216	SEGMENTATION FAULT	0.868156774	1.1955712931230664	134.131712	SEGMENTATION FAULT	427.265175641	427.600254451856	202.944512	SEGMENTATION FAULT	0.901474953	1.1387836281210184	134.524928	SEGMENTATION FAULT	428.241273131	428.52281133737415	207.486976	TIMEOUT	900.99455362	901.0752957258373	884.248576
ere-conformant/ring_r7_ser---19_.sdimacs	SEGMENTATION FAULT	1.727293233	2.1117511386983097	360.140800	SEGMENTATION FAULT	1.634425034	1.9965107291936874	359.092224	TIMEOUT (ERROR (1))	901.042253416	901.0667352657765	101.150720	SEGMENTATION FAULT	1.655545867	2.0287881260737777	360.136704	TIMEOUT (ERROR (1))	900.386826458	901.0596711700782	129.421312	TIMEOUT	901.194239545	901.2216379670426	3190.149120
ere-conformant/ring_r7_ser--opt-20_.sdimacs	SEGMENTATION FAULT	1.969599638	2.2228126800619066	361.979904	SEGMENTATION FAULT	1.665694402	1.9157850709743798	359.354368	TIMEOUT (ERROR (1))	901.042402622	901.0589705742896	99.524608	SEGMENTATION FAULT	1.900765657	2.3174465531483293	361.848832	TIMEOUT (ERROR (1))	900.240540949	901.0630779960193	129.236992	TIMEOUT	901.151661737	901.1979165254161	3192.344576
ere-MaxCount/MaxSAT-keller4-1212.clq.wcnf.sdimacs	TIMEOUT (ERROR (1))	901.169604112	901.198288898915	1701.822464	TIMEOUT (ERROR (1))	901.195617154	901.2235974199139	1687.154688	done	0.180822225	0.18272145092487335	18.378752	TIMEOUT (ERROR (1))	901.189495326	901.2102263625711	1647.771648	done	0.178035667	0.1895103957504034	18.116608	TIMEOUT	900.999829972	901.0385730648413	632.946688
ere-MaxCount/MaxSAT-keller4.clq.wcnf.sdimacs	TIMEOUT (ERROR (1))	900.962094452	901.0081071550958	50.192384	TIMEOUT (ABORTED)	900.999920331	901.2687864787877	46.579712	TIMEOUT (ABORTED)	900.996579091	901.4084051339887	51.212288	TIMEOUT (ERROR (1))	900.946404351	901.0075906268321	50.507776	TIMEOUT (ERROR (1))	900.958228156	901.0078962631524	47.702016	TIMEOUT	901.001093203	901.0217022728175	235.634688
ere-MaxCount/QIF-CVE-2007-2875.sdimacs	TIMEOUT (ERROR (1))	901.094064865	901.1461241915822	1209.823232	TIMEOUT (ERROR (1))	901.078720333	901.1453577871434	1227.730944	TIMEOUT (ERROR (1))	901.095585717	901.1631689611822	1172.459520	done	2.013336188	2.0144807379692793	26.312704	done	2.474206509	2.4764546370133758	28.078080	OUT OF MEMORY	391.715837744	391.73942391201854	8000.000000
ere-MaxCount/QIF-CVE-2009-3002.sdimacs	TIMEOUT (ERROR (1))	901.687855381	901.7209235550836	3095.691264	TIMEOUT (ERROR (1))	901.628137717	901.6734474860132	3058.114560	TIMEOUT (ERROR (1))	901.648653382	901.6705730953254	3053.436928	TIMEOUT (ERROR (1))	901.691037422	901.7087044692598	3084.419072	TIMEOUT (ERROR (1))	901.664837595	901.6987695782445	3159.130112	ERROR (255)	0.009076037	0.012887542136013508	0.643072
ere-MaxCount/QIF-backdoor-2x16-8.sdimacs	TIMEOUT (ERROR (1))	901.003409448	901.0221364279278	175.812608	TIMEOUT (ABORTED)	900.992602832	901.3893380081281	63.647744	TIMEOUT (ERROR (1))	901.002371116	901.0234621758573	175.783936	TIMEOUT (ERROR (1))	900.990426596	901.0116280410439	109.281280	TIMEOUT (ERROR (1))	900.981739886	901.0061329463497	42.463232	done	0.009390325	0.014811649918556213	3.002368
ere-MaxCount/QIF-bin-search-16.sdimacs	TIMEOUT (ERROR (1))	901.011138373	904.3196809371002	81.907712	TIMEOUT (ERROR (1))	901.018782968	901.0364369628951	289.570816	TIMEOUT (ERROR (1))	901.008232693	901.011402213946	82.141184	TIMEOUT (ERROR (1))	900.990686828	901.0090231606737	85.082112	TIMEOUT (ERROR (1))	900.976491287	901.0096428478137	79.806464	TIMEOUT	901.013999232	901.0350729394704	513.449984
ere-MaxCount/QIF-pwd-backdoor.sdimacs	TIMEOUT (ERROR (1))	900.364644071	901.1249351380393	887.922688	TIMEOUT (ABORTED)	900.981923775	901.4047953323461	203.190272	TIMEOUT (ERROR (1))	901.090229348	901.1189407259226	876.888064	TIMEOUT (ABORTED)	901.011161433	901.3849313091487	117.506048	TIMEOUT (ERROR (1))	901.012520166	901.0120087051764	117.600256	OUT OF MEMORY	576.407944439	576.4553304342553	8000.000000
