   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dissertation/dcssat-ppe.xml
name:                    dcssat-ppe
run sets:                default
date:                    Fri, 2021-04-16 21:03:16 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:                 
parallel runs:           8
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                          status                       cpu time   wall time        host
E-0.125-D-0.1/router.aig/ere-router-0.125-0.10.sdimacs             OUT OF MEMORY                  352.73      352.74        None
E-0.125-D-0.1/sin.aig/ere-sin-0.125-0.10.sdimacs                   TIMEOUT                        901.50      901.59        None
E-0.125-D-0.1/sqrt.aig/ere-sqrt-0.125-0.10.sdimacs                 SEGMENTATION FAULT               3.90        4.08        None
E-0.125-D-0.1/square.aig/ere-square-0.125-0.10.sdimacs             TIMEOUT                        901.71      901.73        None
E-0.125-D-0.1/voter.aig/ere-voter-0.125-0.10.sdimacs               TIMEOUT                        901.05      901.07        None
E-0.125-D-0.01/adder.aig/re-adder-0.125-0.01.sdimacs               OUT OF MEMORY                  552.12      552.16        None
E-0.125-D-0.01/arbiter.aig/re-arbiter-0.125-0.01.sdimacs           OUT OF MEMORY                  332.13      332.13        None
E-0.125-D-0.01/bar.aig/re-bar-0.125-0.01.sdimacs                   OUT OF MEMORY                  767.50      767.51        None
E-0.125-D-0.01/c1355.bench/re-c1355-0.125-0.01.sdimacs             OUT OF MEMORY                  516.02      516.03        None
E-0.125-D-0.01/c1908.bench/re-c1908-0.125-0.01.sdimacs             TIMEOUT                        901.08      901.09        None
E-0.125-D-0.01/c2670.bench/re-c2670-0.125-0.01.sdimacs             OUT OF MEMORY                  615.94      615.95        None
E-0.125-D-0.01/c3540.bench/re-c3540-0.125-0.01.sdimacs             OUT OF MEMORY                  456.48      456.52        None
E-0.125-D-0.01/c432.bench/re-c432-0.125-0.01.sdimacs               OUT OF MEMORY                  519.45      519.46        None
E-0.125-D-0.01/c499.bench/re-c499-0.125-0.01.sdimacs               OUT OF MEMORY                  528.97      529.02        None
E-0.125-D-0.01/c5315.bench/re-c5315-0.125-0.01.sdimacs             OUT OF MEMORY                  506.83      506.84        None
E-0.125-D-0.01/c6288.bench/re-c6288-0.125-0.01.sdimacs             OUT OF MEMORY                  667.99      668.00        None
E-0.125-D-0.01/c7552.bench/re-c7552-0.125-0.01.sdimacs             OUT OF MEMORY                  691.23      691.24        None
E-0.125-D-0.01/c880.bench/re-c880-0.125-0.01.sdimacs               TIMEOUT                        901.09      901.10        None
E-0.125-D-0.01/cavlc.aig/re-cavlc-0.125-0.01.sdimacs               done                             0.06        0.06        None
E-0.125-D-0.01/ctrl.aig/re-ctrl-0.125-0.01.sdimacs                 done                             0.01        0.01        None
E-0.125-D-0.01/dec.aig/re-dec-0.125-0.01.sdimacs                   done                             0.01        0.01        None
E-0.125-D-0.01/div.aig/re-div-0.125-0.01.sdimacs                   SEGMENTATION FAULT               2.77        2.95        None
E-0.125-D-0.01/hyp.aig/re-hyp-0.125-0.01.sdimacs                   SEGMENTATION FAULT               9.08        9.26        None
E-0.125-D-0.01/i2c.aig/re-i2c-0.125-0.01.sdimacs                   OUT OF MEMORY                  356.61      356.64        None
E-0.125-D-0.01/int2float.aig/re-int2float-0.125-0.01.sdimacs       done                             0.01        0.01        None
E-0.125-D-0.01/log2.aig/re-log2-0.125-0.01.sdimacs                 SEGMENTATION FAULT               1.43        1.61        None
E-0.125-D-0.01/max.aig/re-max-0.125-0.01.sdimacs                   TIMEOUT                        901.67      901.69        None
E-0.125-D-0.01/mem_ctrl.aig/re-mem_ctrl-0.125-0.01.sdimacs         SEGMENTATION FAULT               2.22        2.40        None
E-0.125-D-0.01/multiplier.aig/re-multiplier-0.125-0.01.sdimacs     SEGMENTATION FAULT               1.26        1.43        None
E-0.125-D-0.01/priority.aig/re-priority-0.125-0.01.sdimacs         OUT OF MEMORY                  289.19      289.22        None
E-0.125-D-0.01/router.aig/re-router-0.125-0.01.sdimacs             TIMEOUT                        901.15      901.16        None
E-0.125-D-0.01/sin.aig/re-sin-0.125-0.01.sdimacs                   TIMEOUT                        901.47      901.49        None
E-0.125-D-0.01/sqrt.aig/re-sqrt-0.125-0.01.sdimacs                 SEGMENTATION FAULT               1.25        1.44        None
E-0.125-D-0.01/square.aig/re-square-0.125-0.01.sdimacs             TIMEOUT                        901.53      901.60        None
E-0.125-D-0.01/voter.aig/re-voter-0.125-0.01.sdimacs               TIMEOUT                        900.98      901.05        None
E-0.125-D-0.01/adder.aig/ere-adder-0.125-0.01.sdimacs              OUT OF MEMORY                  477.53      477.53        None
E-0.125-D-0.01/arbiter.aig/ere-arbiter-0.125-0.01.sdimacs          OUT OF MEMORY                  333.37      333.38        None
E-0.125-D-0.01/bar.aig/ere-bar-0.125-0.01.sdimacs                  OUT OF MEMORY                  639.97      639.98        None
E-0.125-D-0.01/c1355.bench/ere-c1355-0.125-0.01.sdimacs            OUT OF MEMORY                  478.87      478.88        None
