tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-BDD.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist	default-Cachet.ExistRandomExist
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-sand-castle/SC-25.sdimacs	TIMEOUT (ERROR (1))	900.91859688	901.0123609609436	101.457920	TIMEOUT (ERROR (1))	900.996056084	905.2392594972625	49.442816
ere-sand-castle/SC-3.sdimacs	done	0.047594522	0.0493401400744915	14.839808	done	0.585638767	0.5887731830589473	46.231552
ere-sand-castle/SC-4.sdimacs	done	0.052550998	0.053425943944603205	15.101952	done	1.148482993	1.1575705613940954	46.325760
ere-sand-castle/SC-5.sdimacs	done	0.066628198	0.06804395304061472	15.360000	done	2.358369522	2.3663824419490993	46.317568
ere-sand-castle/SC-6.sdimacs	done	0.1019241	0.1034542340785265	16.015360	done	4.833905626	4.852017601020634	46.362624
ere-sand-castle/SC-7.sdimacs	done	0.214699457	0.21579060284420848	17.195008	done	9.745076137	9.796667655929923	46.387200
ere-sand-castle/SC-8.sdimacs	done	0.577437169	0.5793495939578861	20.189184	done	19.398270912	19.49484159098938	46.399488
ere-sand-castle/SC-9.sdimacs	done	1.707858449	1.7103241859003901	25.677824	done	39.58752493	39.820701385848224	46.428160
ere-ToiletA/toilet_a_02_01.2.sdimacs	done	0.044964783	0.04614640004001558	14.573568	done	0.075319415	0.07738115778192878	45.797376
ere-ToiletA/toilet_a_02_01.3.sdimacs	done	0.048940252	0.05065050604753196	14.573568	done	0.074439486	0.07693291688337922	45.801472
ere-ToiletA/toilet_a_02_01.4.sdimacs	done	0.048598397	0.049710753140971065	14.835712	done	0.524974432	0.5273311473429203	46.247936
ere-ToiletA/toilet_a_02_05.2.sdimacs	done	0.048837716	0.050654418068006635	14.573568	done	0.078785417	0.08125914633274078	45.793280
ere-ToiletA/toilet_a_02_10.2.sdimacs	done	0.045009521	0.047658022958785295	14.696448	done	0.079069137	0.08131921896710992	45.793280
ere-ToiletA/toilet_a_04_01.2.sdimacs	done	0.049737507	0.05269162217155099	15.228928	done	0.076064976	0.0808249288238585	45.793280
ere-ToiletA/toilet_a_04_01.3.sdimacs	done	0.059553828	0.06678432319313288	16.015360	done	0.411652228	0.415445476770401	46.198784
ere-ToiletA/toilet_a_04_01.4.sdimacs	done	0.16741467	0.16876779706217349	18.636800	done	4.599236568	4.620138540863991	46.383104
ere-ToiletA/toilet_a_04_01.5.sdimacs	done	0.405598363	0.40688524092547596	21.131264	done	11.486700627	11.559853859711438	46.403584
ere-ToiletA/toilet_a_04_01.6.sdimacs	done	1.390659879	1.3922245339490473	26.181632	done	31.644375649	31.783282513730228	46.489600
ere-ToiletA/toilet_a_04_01.7.sdimacs	done	3.445518365	3.447256817948073	34.148352	done	79.513226824	80.0459223240614	46.632960
ere-ToiletA/toilet_a_04_01.8.sdimacs	done	1.84059534	1.842471137875691	28.663808	done	135.602791022	136.20869412226602	47.165440
ere-ToiletA/toilet_a_04_05.2.sdimacs	done	0.045943005	0.04705991595983505	15.224832	done	0.076380888	0.07824358809739351	45.789184
ere-ToiletA/toilet_a_04_10.2.sdimacs	done	0.159491033	0.16189642413519323	19.271680	done	0.083668683	0.08632269408553839	46.034944
ere-ToiletA/toilet_a_06_01.10.sdimacs	done	531.592418459	531.6066512728576	824.332288	TIMEOUT (ERROR (1))	900.993293208	904.9026710148901	54.124544
ere-ToiletA/toilet_a_06_01.11.sdimacs	TIMEOUT (ERROR (1))	901.10678736	901.127749184845	1080.553472	TIMEOUT (ERROR (1))	900.98261307	906.0173955489881	54.218752
