tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-sand-castle/SC-15.sdimacs	TIMEOUT (ERROR (1))	901.032952772	902.4539439771324	199.131136	TIMEOUT (ERROR (1))	900.991808003	904.3695751605555	51.535872	done	2.210101097	2.2133448561653495	69.586944
ere-sand-castle/SC-16.sdimacs	TIMEOUT (ERROR (1))	900.087450173	901.028598183766	147.415040	TIMEOUT (ERROR (1))	900.990248089	905.4844286041334	50.311168	done	4.949555936	4.950704728253186	139.579392
ere-sand-castle/SC-17.sdimacs	TIMEOUT (ERROR (1))	901.019650696	902.5709401397035	130.883584	TIMEOUT (ERROR (1))	900.977495347	905.1140988823026	51.634176	done	10.349869421	10.351055411621928	282.316800
ere-sand-castle/SC-18.sdimacs	TIMEOUT (ABORTED)	901.014920699	904.8708173790947	116.981760	TIMEOUT (ERROR (1))	900.985977578	904.7642255304381	51.654656	done	21.912381718	21.913622451014817	594.006016
ere-sand-castle/SC-19.sdimacs	TIMEOUT (ERROR (1))	901.009777066	904.333609784022	84.262912	TIMEOUT (ERROR (1))	900.991059479	904.8325452981517	50.745344	done	50.770897252	50.772730878554285	1209.786368
ere-sand-castle/SC-2.sdimacs	done	0.059581019	0.060861301608383656	14.577664	done	0.17400616	0.17823275458067656	46.018560	done	0.006324678	0.007224992848932743	0.774144
ere-sand-castle/SC-20.sdimacs	TIMEOUT (ERROR (1))	900.22084518	901.0132632241584	97.267712	TIMEOUT (ERROR (1))	900.993886776	905.0254489649087	50.237440	done	113.60083963	113.60483691096306	2466.631680
ere-sand-castle/SC-21.sdimacs	TIMEOUT (ERROR (1))	901.009246568	903.82291459525	86.360064	TIMEOUT (ERROR (1))	900.990046504	904.2953348485753	50.786304	done	218.99144566	218.9940911438316	5030.268928
ere-sand-castle/SC-22.sdimacs	TIMEOUT (ERROR (1))	900.300476196	901.0140564120375	97.144832	TIMEOUT (ERROR (1))	900.970235616	904.9641661420465	50.802688	OUT OF MEMORY	361.805026514	361.8308564228937	8000.000000
ere-sand-castle/SC-23.sdimacs	TIMEOUT (ERROR (1))	901.017041176	904.7389022880234	82.681856	TIMEOUT (ERROR (1))	900.991578827	904.9442720673978	50.782208	OUT OF MEMORY	359.255353053	359.2647131225094	8000.000000
ere-sand-castle/SC-24.sdimacs	TIMEOUT (ERROR (1))	900.563129971	901.0184663119726	84.422656	TIMEOUT (ERROR (1))	900.967144556	904.529030864127	51.675136	OUT OF MEMORY	370.379442647	370.38847341388464	8000.000000
ere-sand-castle/SC-25.sdimacs	TIMEOUT (ABORTED)	901.017895414	902.7651153490879	85.266432	TIMEOUT (ERROR (1))	900.998475211	904.7293283371255	53.649408	OUT OF MEMORY	357.217641314	357.2473293039948	8000.000000
ere-sand-castle/SC-3.sdimacs	done	0.059176006	0.060188238974660635	14.839808	done	0.343054215	0.34543384052813053	46.051328	done	0.007515198	0.008386892266571522	1.036288
ere-sand-castle/SC-4.sdimacs	done	0.062691124	0.06381877698004246	15.101952	done	0.668769752	0.6747580673545599	46.157824	done	0.008293201	0.009537052363157272	1.167360
ere-sand-castle/SC-5.sdimacs	done	0.071384037	0.07241714466363192	15.228928	done	1.339749958	1.3443077197298408	46.182400	done	0.008362481	0.00947588961571455	1.429504
ere-sand-castle/SC-6.sdimacs	done	0.140026755	0.14168169302865863	15.622144	done	2.662803352	2.6730108354240656	46.264320	done	0.010620794	0.012140491046011448	1.560576
ere-sand-castle/SC-7.sdimacs	done	0.180036457	0.1813141698949039	16.539648	done	5.350805271	5.363735291175544	46.186496	done	0.012023155	0.015065367333590984	1.822720
ere-sand-castle/SC-8.sdimacs	done	0.513053427	0.530378513969481	18.800640	done	10.740751525	10.78100210428238	46.211072	done	0.017205291	0.02033622656017542	2.215936
ere-sand-castle/SC-9.sdimacs	done	1.171036228	1.1720978580415249	22.044672	done	21.555184244	21.622333547100425	46.305280	done	0.029754316	0.03111438639461994	2.871296
ere-ToiletA/toilet_a_02_01.2.sdimacs	done	0.087697025	0.1525600589811802	14.577664	done	0.092406318	0.0945221297442913	45.805568	done	0.007082708	0.008009834215044975	0.774144
ere-ToiletA/toilet_a_02_01.3.sdimacs	done	0.058843964	0.06007650215178728	14.577664	done	0.135967398	0.13815305288881063	45.936640	done	0.006805212	0.008303198032081127	1.036288
ere-ToiletA/toilet_a_02_01.4.sdimacs	done	0.094700756	0.09588527027517557	14.839808	done	0.13648232	0.1384826311841607	45.932544	done	0.007514035	0.008740981109440327	1.167360
ere-ToiletA/toilet_a_02_05.2.sdimacs	done	0.058621614	0.06430562678724527	14.577664	done	0.092403517	0.09431037772446871	45.801472	done	0.007604802	0.008719410747289658	1.953792
ere-ToiletA/toilet_a_02_10.2.sdimacs	done	0.086934676	0.0881762127391994	14.577664	done	0.091967698	0.09390659537166357	45.805568	done	0.00996535	0.011056097224354744	4.182016
ere-ToiletA/toilet_a_04_01.2.sdimacs	done	0.091460155	0.09265795396640897	15.233024	done	0.089998385	0.0917288800701499	45.805568	done	0.007850108	0.008956203237175941	1.691648
