   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/erssat-full.xml
name:                    erssat-full
run sets:                default-BDD.ExistRandomExist, bare-BDD.ExistRandomExist, greedy-BDD.ExistRandomExist, subsume-BDD.ExistRandomExist, partial-BDD.ExistRandomExist, default-Cachet.ExistRandomExist, bare-Cachet.ExistRandomExist, greedy-Cachet.ExistRandomExist, subsume-Cachet.ExistRandomExist, partial-Cachet.ExistRandomExist
date:                    Thu, 2021-01-28 20:52:15 CST
tool:                    ABC
tool executable:         bin/abc
options:                 
parallel runs:           12
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-0A
os:                      Linux-5.4.0-26-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon CPU E5-2630 0 @ 2.30GHz
- cores:                 24
- max frequency:         2800.0 MHz
- turbo boost enabled:   False
ram:                     219679.203328 MB
------------------------------------------------------------



default-BDD.ExistRandomExist
Run set 1 of 10 with options '-c ssat -vt' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
ere-ToiletA/toilet_a_06_01.3.sdimacs                   done                             0.24        0.24        None
ere-ToiletA/toilet_a_06_01.4.sdimacs                   done                             1.41        1.41        None
ere-ToiletA/toilet_a_06_01.5.sdimacs                   done                             5.60        5.60        None
ere-ToiletA/toilet_a_06_01.6.sdimacs                   done                            19.09       19.09        None
ere-ToiletA/toilet_a_06_01.7.sdimacs                   done                            70.15       70.16        None
ere-ToiletA/toilet_a_06_01.8.sdimacs                   done                           183.36      183.38        None
ere-ToiletA/toilet_a_06_01.9.sdimacs                   TIMEOUT (ERROR (1))            901.13      901.17        None
ere-ToiletA/toilet_a_06_05.2.sdimacs                   done                           218.44      218.45        None
ere-ToiletA/toilet_a_06_05.3.sdimacs                   TIMEOUT (ERROR (1))            901.10      901.16        None
ere-ToiletA/toilet_a_06_05.4.sdimacs                   TIMEOUT (ERROR (1))            901.07      901.16        None
ere-ToiletA/toilet_a_06_10.2.sdimacs                   done                             0.10        0.10        None
ere-ToiletA/toilet_a_08_01.10.sdimacs                  TIMEOUT (ERROR (1))            901.20      901.26        None
ere-ToiletA/toilet_a_08_01.11.sdimacs                  TIMEOUT (ERROR (1))            901.23      901.27        None
ere-ToiletA/toilet_a_08_01.12.sdimacs                  TIMEOUT (ERROR (1))            901.19      901.26        None
ere-ToiletA/toilet_a_08_01.13.sdimacs                  TIMEOUT (ERROR (1))            901.19      901.24        None
ere-ToiletA/toilet_a_08_01.14.sdimacs                  TIMEOUT (ERROR (1))            901.20      901.23        None
ere-ToiletA/toilet_a_08_01.15.sdimacs                  TIMEOUT (ERROR (1))            901.19      901.27        None
ere-ToiletA/toilet_a_08_01.16.sdimacs                  TIMEOUT (ERROR (1))            901.23      901.27        None
ere-ToiletA/toilet_a_08_01.2.sdimacs                   done                             1.00        1.00        None
ere-ToiletA/toilet_a_08_01.3.sdimacs                   done                             2.82        2.82        None
ere-ToiletA/toilet_a_08_01.4.sdimacs                   done                            19.07       19.07        None
ere-ToiletA/toilet_a_08_01.5.sdimacs                   done                            59.96       59.96        None
ere-ToiletA/toilet_a_08_01.6.sdimacs                   done                           391.79      391.82        None
ere-ToiletA/toilet_a_08_01.7.sdimacs                   TIMEOUT (ERROR (1))            901.31      901.35        None
ere-ToiletA/toilet_a_08_01.8.sdimacs                   TIMEOUT (ERROR (1))            901.24      901.31        None
ere-ToiletA/toilet_a_08_01.9.sdimacs                   TIMEOUT (ERROR (1))            901.31      901.36        None
ere-ToiletA/toilet_a_08_05.10.sdimacs                  TIMEOUT (ERROR (1))            901.24      901.28        None
