tool	DC-SSAT 	DC-SSAT 	DC-SSAT 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dcssat-re.default.PEC	dcssat-re.default.PEC	dcssat-re.default.PEC	ressat.minimize-Cachet.PEC	ressat.minimize-Cachet.PEC	ressat.minimize-Cachet.PEC	ressat.minimize-Cachet.PEC	ressat.bare-Cachet.PEC	ressat.bare-Cachet.PEC	ressat.bare-Cachet.PEC	ressat.bare-Cachet.PEC
test-cases/benchmarks/re-PEC/	status	cputime (s)	sat. prob.	status	cputime (s)	sat. prob.	UB	status	cputime (s)	sat. prob.	UB
re-router-0.125-0.01.sdimacs	TIMEOUT	901.095530993		TIMEOUT	1001.185896472		0.001411930	TIMEOUT	1001.081069678		0.2414340
re-router-0.125-0.10.sdimacs	OUT OF MEMORY	412.61468149		TIMEOUT	1001.199214786		0.2411610	TIMEOUT	1001.076263672		0.3104570
re-sin-0.125-0.01.sdimacs	TIMEOUT	901.457804106		TIMEOUT	1001.07034305		1.000000	TIMEOUT	1001.056916722		1.000000
re-sin-0.125-0.10.sdimacs	TIMEOUT	901.358593095		TIMEOUT	1001.302927435		1.000000	TIMEOUT	1001.448861738		1.000000
re-sqrt-0.125-0.01.sdimacs	TIMEOUT	901.101273505		TIMEOUT	1001.559501028		1.000000	TIMEOUT	1001.08218325		1.000000
re-sqrt-0.125-0.10.sdimacs	SEGMENTATION FAULT	3.343905435		TIMEOUT	1001.033994154		1.000000	TIMEOUT	1001.251202304		1.000000
re-square-0.125-0.01.sdimacs	TIMEOUT	901.465432097		TIMEOUT (ERROR (1))	900.930671038		1.000000	TIMEOUT	1001.121370949		1.000000
re-square-0.125-0.10.sdimacs	OUT OF MEMORY	598.929821644		TIMEOUT (ERROR (1))	902.726837129		1.000000	TIMEOUT	1001.530882232		1.000000
re-voter-0.125-0.01.sdimacs	TIMEOUT	900.114793469		TIMEOUT	1001.184538015		1.000000	TIMEOUT	1001.49280177		
re-voter-0.125-0.10.sdimacs	TIMEOUT	901.639825847		TIMEOUT (ERROR (1))	920.526244544		1.000000	TIMEOUT	1001.570509243		
