tool	DC-SSAT 	DC-SSAT 	DC-SSAT 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 
run set	dcssat-er.default.Application	dcssat-er.default.Application	dcssat-er.default.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.default-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application	erssat.bare-BDD.Application
test-cases/benchmarks/	status	cputime (s)	sat. prob.	status	cputime (s)	sat. prob.	LB	T-LB	status	cputime (s)	sat. prob.	LB	T-LB
ere-MaxCount/SyGuS-GuidanceService2.sdimacs	TIMEOUT	901.598528519		TIMEOUT (ERROR (1))	901.007634928		0.000000	0.00	TIMEOUT (ERROR (1))	900.999459384		0.000000	0.00
ere-MaxCount/SyGuS-IssueServiceImpl.sdimacs	TIMEOUT	901.642532031		TIMEOUT (ABORTED)	900.95222988				TIMEOUT (ABORTED)	901.010784652			
ere-MaxCount/SyGuS-IterationService.sdimacs	TIMEOUT	901.456245144		TIMEOUT (ERROR (1))	901.00291483		0.000000	0.00	TIMEOUT (ABORTED)	901.018038887			
ere-MaxCount/SyGuS-LoginService.sdimacs	TIMEOUT	901.357732169		TIMEOUT (ERROR (1))	900.941139394		0.000000	0.00	TIMEOUT (ABORTED)	900.915234982			
ere-MaxCount/SyGuS-LoginService2.sdimacs	TIMEOUT	900.987611834		TIMEOUT (ABORTED)	901.003827306				TIMEOUT (ERROR (1))	901.01286596		0.000000	0.00
ere-MaxCount/SyGuS-NotificationServiceImpl2.sdimacs	TIMEOUT	901.532480358		TIMEOUT (ABORTED)	901.005592724				TIMEOUT (ERROR (1))	900.989701142		0.000000	0.00
ere-MaxCount/SyGuS-PhaseService.sdimacs	TIMEOUT	901.538624038		TIMEOUT (ERROR (1))	901.010999808		0.000000	0.00	TIMEOUT (ERROR (1))	900.933170073		0.000000	0.00
ere-MaxCount/SyGuS-ProcessBean.sdimacs	TIMEOUT	901.004799302		TIMEOUT (ABORTED)	901.037766849				TIMEOUT (ERROR (1))	901.003862754		0.000000	0.00
ere-MaxCount/SyGuS-ProjectService3.sdimacs	TIMEOUT	901.406173289		TIMEOUT (ERROR (1))	901.035333992		0.000000	0.00	TIMEOUT (ABORTED)	901.039439919			
ere-MaxCount/SyGuS-UserServiceImpl.sdimacs	OUT OF MEMORY	790.854620743		TIMEOUT (ERROR (1))	900.911855457		0.000000	0.00	TIMEOUT (ERROR (1))	901.009125724		0.000000	0.00
ere-MaxCount/SyGuS-sign.sdimacs	done	528.34960447	0.999985	TIMEOUT (ERROR (1))	900.978478829		0.000000	0.00	TIMEOUT (ABORTED)	901.002773347			
ere-MaxCount/SyGuS-sign_correct.sdimacs	OUT OF MEMORY	537.790922925		TIMEOUT (ERROR (1))	900.913716263		0.000000	0.00	TIMEOUT (ERROR (1))	900.905999686		0.000000	0.00
ere-MPEC/ere-adder-0.125-0.01.sdimacs	OUT OF MEMORY	648.531086307		TIMEOUT (ERROR (1))	900.99330067		0.000000	0.00	TIMEOUT (ERROR (1))	901.001515204		0.000000	0.00
ere-MPEC/ere-adder-0.125-0.10.sdimacs	TIMEOUT	901.753386229		TIMEOUT (ERROR (1))	900.997481476		0.000000	0.00	TIMEOUT (ABORTED)	901.016055144			
ere-MPEC/ere-arbiter-0.125-0.01.sdimacs	OUT OF MEMORY	248.552442231		TIMEOUT (ERROR (1))	901.054529098		0.000000	0.00	TIMEOUT (ERROR (1))	900.981321243		0.000000	0.00
ere-MPEC/ere-arbiter-0.125-0.10.sdimacs	OUT OF MEMORY	525.65915492		SEGMENTATION FAULT	55.165623333				SEGMENTATION FAULT	0.591893452			
ere-MPEC/ere-bar-0.125-0.01.sdimacs	OUT OF MEMORY	776.200976049		TIMEOUT (ERROR (1))	900.99714465		0.000000	0.00	TIMEOUT (ERROR (1))	901.003787375		0.000000	0.00
ere-MPEC/ere-bar-0.125-0.10.sdimacs	OUT OF MEMORY	779.703431196		TIMEOUT (ERROR (1))	901.005257169		0.000000	0.00	TIMEOUT (ERROR (1))	901.010993393		0.000000	0.00
ere-MPEC/ere-c1355-0.125-0.01.sdimacs	OUT OF MEMORY	363.406925632		TIMEOUT (ERROR (1))	900.92703773		0.4138184	675.81	TIMEOUT (ERROR (1))	901.108894156		0.6563911	41.01
