tool	DC-SSAT 	ABC 	ABC 
ere-ToiletA/toilet_a_10_01.18.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.19.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.2.sdimacs	done	done	done
ere-ToiletA/toilet_a_10_01.20.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.3.sdimacs	done	done	done
ere-ToiletA/toilet_a_10_01.4.sdimacs	done	done	done
ere-ToiletA/toilet_a_10_01.5.sdimacs	done	done	done
ere-ToiletA/toilet_a_10_01.6.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.7.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.8.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_01.9.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_05.2.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_05.3.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_05.4.sdimacs	TIMEOUT	TIMEOUT (ERROR (1))	TIMEOUT (ERROR (1))
ere-ToiletA/toilet_a_10_10.2.sdimacs	TIMEOUT	done	done
