tool	ABC 	DC-SSAT 
run set	erssat.default-BDD.Application	dcssat-er.default.Application
test-cases/benchmarks/	cputime (s)	cputime (s)
ere-ToiletA/toilet_a_10_01.11.sdimacs	901.232475513	900.999639503
ere-ToiletA/toilet_a_10_01.12.sdimacs	901.217602183	900.993765007
ere-ToiletA/toilet_a_10_01.13.sdimacs	901.214787207	900.991191246
ere-ToiletA/toilet_a_10_01.14.sdimacs	901.217668784	900.992669389
ere-ToiletA/toilet_a_10_01.15.sdimacs	901.194935488	900.995106552
ere-ToiletA/toilet_a_10_01.16.sdimacs	901.206789445	901.013725363
ere-ToiletA/toilet_a_10_01.17.sdimacs	901.214003176	900.929009179
ere-ToiletA/toilet_a_10_01.18.sdimacs	901.190581767	901.004865934
ere-ToiletA/toilet_a_10_01.19.sdimacs	901.215074909	901.018996208
ere-ToiletA/toilet_a_10_01.2.sdimacs	13.551204601	32.324616354
ere-ToiletA/toilet_a_10_01.20.sdimacs	901.194719336	901.036087764
ere-ToiletA/toilet_a_10_01.3.sdimacs	33.085903223	65.449480234
ere-ToiletA/toilet_a_10_01.4.sdimacs	223.642562078	345.858191226
ere-ToiletA/toilet_a_10_01.5.sdimacs	694.549254191	886.698473883
ere-ToiletA/toilet_a_10_01.6.sdimacs	901.216823637	900.985438058
ere-ToiletA/toilet_a_10_01.7.sdimacs	901.251277077	900.994611486
ere-ToiletA/toilet_a_10_01.8.sdimacs	901.242867157	900.951707482
ere-ToiletA/toilet_a_10_01.9.sdimacs	901.24090236	900.955069494
ere-ToiletA/toilet_a_10_05.2.sdimacs	901.276060679	900.998868516
ere-ToiletA/toilet_a_10_05.3.sdimacs	901.267173167	901.000404586
ere-ToiletA/toilet_a_10_05.4.sdimacs	901.167026979	901.017877554
ere-ToiletA/toilet_a_10_10.2.sdimacs	4.522213505	901.03193459
