tool	ABC 	ABC 
run set	default-BDD.Application	bare-BDD.Application
test-cases/benchmarks/	cputime (s)	cputime (s)
ere-ToiletA/toilet_a_06_01.9.sdimacs	818.288468816	876.655851623
ere-ToiletA/toilet_a_06_05.2.sdimacs	139.322469698	37.203743874
ere-ToiletA/toilet_a_06_05.3.sdimacs	901.136581161	901.137104167
ere-ToiletA/toilet_a_06_05.4.sdimacs	488.218566507	0.728278809
ere-ToiletA/toilet_a_06_10.2.sdimacs	0.074813811	0.232567789
ere-ToiletA/toilet_a_08_01.10.sdimacs	901.293909992	901.264447822
ere-ToiletA/toilet_a_08_01.11.sdimacs	901.24629456	901.249171663
ere-ToiletA/toilet_a_08_01.12.sdimacs	901.247344143	901.237086798
ere-ToiletA/toilet_a_08_01.13.sdimacs	901.209366597	901.239309741
ere-ToiletA/toilet_a_08_01.14.sdimacs	901.192978694	901.224336962
ere-ToiletA/toilet_a_08_01.15.sdimacs	901.111310433	901.098948835
ere-ToiletA/toilet_a_08_01.16.sdimacs	901.139383416	64.20229929
ere-ToiletA/toilet_a_08_01.2.sdimacs	0.704568979	0.304419253
ere-ToiletA/toilet_a_08_01.3.sdimacs	1.822776136	1.060276086
ere-ToiletA/toilet_a_08_01.4.sdimacs	11.790409096	4.733686791
ere-ToiletA/toilet_a_08_01.5.sdimacs	36.685564928	17.889486999
ere-ToiletA/toilet_a_08_01.6.sdimacs	224.303598255	76.088330585
ere-ToiletA/toilet_a_08_01.7.sdimacs	901.304507769	427.057321014
ere-ToiletA/toilet_a_08_01.8.sdimacs	901.279793224	901.267295672
ere-ToiletA/toilet_a_08_01.9.sdimacs	901.278146918	901.25416317
ere-ToiletA/toilet_a_08_05.10.sdimacs	901.292481764	4.395047535
ere-ToiletA/toilet_a_08_05.2.sdimacs	901.315191904	901.218462619
ere-ToiletA/toilet_a_08_05.3.sdimacs	901.288609039	901.300622338
ere-ToiletA/toilet_a_08_05.4.sdimacs	901.216781206	46.868934325
ere-ToiletA/toilet_a_08_05.5.sdimacs	901.218413019	11.342389679
ere-ToiletA/toilet_a_08_05.6.sdimacs	901.3028647	4.529190382
ere-ToiletA/toilet_a_08_05.7.sdimacs	901.299083494	7.835465028
ere-ToiletA/toilet_a_08_05.8.sdimacs	901.273462335	3.935502582
ere-ToiletA/toilet_a_08_05.9.sdimacs	901.284013399	11.348608166
ere-ToiletA/toilet_a_08_10.2.sdimacs	0.36247923	5.141574178
ere-ToiletA/toilet_a_10_01.10.sdimacs	901.240032637	901.187318568
ere-ToiletA/toilet_a_10_01.11.sdimacs	901.222169816	901.204778376
ere-ToiletA/toilet_a_10_01.12.sdimacs	901.145608415	901.077568712
ere-ToiletA/toilet_a_10_01.13.sdimacs	901.166101546	901.180144011
ere-ToiletA/toilet_a_10_01.14.sdimacs	901.22844055	901.174887088
ere-ToiletA/toilet_a_10_01.15.sdimacs	901.209324001	901.16077512
ere-ToiletA/toilet_a_10_01.16.sdimacs	901.207555721	901.105099865
ere-ToiletA/toilet_a_10_01.17.sdimacs	901.215721455	901.150899224
ere-ToiletA/toilet_a_10_01.18.sdimacs	901.217725418	901.14416699
ere-ToiletA/toilet_a_10_01.19.sdimacs	901.206378606	901.144799358
ere-ToiletA/toilet_a_10_01.2.sdimacs	15.484913541	5.340939129
ere-ToiletA/toilet_a_10_01.20.sdimacs	901.128770975	901.134993085
ere-ToiletA/toilet_a_10_01.3.sdimacs	36.462779779	16.964084913
ere-ToiletA/toilet_a_10_01.4.sdimacs	241.460720251	89.34859374
ere-ToiletA/toilet_a_10_01.5.sdimacs	740.820366518	330.636589402
ere-ToiletA/toilet_a_10_01.6.sdimacs	901.220613175	901.213538449
ere-ToiletA/toilet_a_10_01.7.sdimacs	901.239819938	901.211337271
ere-ToiletA/toilet_a_10_01.8.sdimacs	901.16274774	901.101972623
ere-ToiletA/toilet_a_10_01.9.sdimacs	901.226217623	901.15601988
ere-ToiletA/toilet_a_10_05.2.sdimacs	901.269549515	901.244590503
ere-ToiletA/toilet_a_10_05.3.sdimacs	901.243898511	901.235575985
ere-ToiletA/toilet_a_10_05.4.sdimacs	901.177530849	901.267904971
ere-ToiletA/toilet_a_10_10.2.sdimacs	5.693743222	41.467457705
